otu_id	D1	D2	D3	D10	D57	D58	D86	D194	D195	D196	D197	D198	D214	D215	D216	D217	D218	D219	D220	D221	D222	D223	D224	D258	D259	D260	D272	D273	D274	D275	D276	D410	D411	D412	D413	D414	D415	D416	D417	D418	D419	D420	D421	D422	D423	D424	D425	D426	D427	D428	D429	D447	D448	D449	D450	D451	D452	D453	D454	D455	D456	D678	D679	D680	D681	D682	D1045	D1046	D1047
OTU_14834	39	66	56	125	4	18	7	0	5	1	1	8	2	7	1	3	0	3	0	4	0	2	2	75	51	74	78	79	71	50	38	0	1	0	3	0	1	3	4	2	1	3	6	0	3	6	6	5	10	5	11	5	12	5	3	4	3	6	7	2	13	8	0	9	11	2	8	5	3
OTU_18567	0	1	0	0	4	8	14	16	34	19	15	31	26	25	32	16	12	16	11	10	5	10	13	0	0	1	1	0	1	2	6	0	0	1	0	0	0	1	0	0	0	0	0	1	3	1	2	1	0	1	0	2	1	2	8	4	5	1	0	1	1	15	45	7	8	3	6	11	7
OTU_14402	10	27	32	45	2	4	4	0	1	0	0	2	0	2	1	2	0	0	0	0	0	1	0	10	1	8	41	23	40	27	8	0	0	0	0	1	0	0	1	0	1	1	1	0	1	2	2	0	1	1	0	1	1	0	1	0	0	2	1	1	4	6	1	0	1	0	3	1	3
OTU_14822	0	0	0	0	0	0	0	9	7	11	11	8	13	16	9	14	12	16	12	10	14	12	15	0	0	0	0	0	0	0	1	7	7	5	3	5	5	8	10	8	7	3	9	5	6	8	1	2	5	8	2	2	6	5	10	4	10	6	4	6	2	0	0	0	0	0	0	0	1
OTU_16757	0	0	0	0	0	0	0	8	10	12	10	15	28	14	26	21	15	17	23	12	23	12	34	0	0	0	0	0	0	0	0	2	5	6	5	5	8	9	8	5	5	2	3	3	3	2	2	3	8	7	8	3	7	5	7	4	6	6	3	7	11	0	0	0	0	0	0	0	0
OTU_15154	1	3	2	3	3	3	3	8	18	16	4	13	15	15	14	16	17	12	12	14	5	16	9	2	1	0	2	2	0	1	3	5	3	1	2	3	2	3	3	7	2	3	1	10	3	4	5	6	6	1	3	2	10	5	3	7	4	4	3	7	8	5	1	4	5	3	3	1	2
OTU_7054	16	8	4	7	1	0	6	2	9	4	8	8	11	4	4	6	6	13	3	10	3	2	2	14	27	33	3	4	6	2	11	2	1	0	0	4	3	0	0	1	1	4	11	11	11	9	5	5	6	15	12	9	4	3	5	3	6	11	11	10	25	3	5	4	3	2	4	5	4
OTU_1196	3	1	0	0	5	2	12	11	16	18	8	18	18	15	2	15	6	10	11	17	17	13	10	0	0	1	2	0	1	1	1	2	1	2	0	1	2	0	1	0	1	1	0	2	2	0	1	0	2	10	1	5	5	2	6	6	0	6	2	0	4	5	0	4	22	1	0	1	1
OTU_18954	0	0	0	0	0	0	1	5	7	2	4	5	9	4	6	3	6	3	3	9	17	5	8	0	0	0	1	0	0	0	0	3	3	0	4	3	7	4	4	6	5	5	0	3	4	5	0	0	0	4	5	6	3	4	7	3	7	1	6	3	7	1	0	0	0	0	1	0	2
OTU_14839	0	1	0	0	0	1	3	9	16	16	6	8	5	17	16	14	20	10	10	11	7	10	7	0	1	0	0	0	0	0	2	4	1	2	3	0	4	1	4	6	1	4	3	1	2	2	1	0	3	1	1	0	3	3	4	3	1	2	1	3	4	0	2	0	1	1	0	0	0
